Day  Month  Year           SSH               SST 
                           (m)               (C)

 11    9    2011     1.24027222395      26.7892391682
 12    9    2011     1.21707815677      26.9686880037
 13    9    2011     1.19174779393      26.7650685087
 14    9    2011     1.16763817146      26.5226294696
 15    9    2011     1.15054780617      26.0824304894
 16    9    2011     1.15359965712      26.1622669101
 17    9    2011     1.15817743354      26.2853175402
 18    9    2011     1.16489150561      26.4222846106
 19    9    2011     1.18747520261      26.7086703032
 20    9    2011     1.23264259659      27.1774346083
 21    9    2011     1.27414776944      27.3568834439
 22    9    2011     1.26956999302      27.1378826201
 23    9    2011     1.22562333941      26.4069032818
 24    9    2011     1.18900112808      26.0853602663
 25    9    2011     1.17435224354      26.378337957
 26    9    2011     1.16061891429      26.6200445518
 27    9    2011     1.143528549        26.4830774814
 28    9    2011     1.12735373899      26.5585192367
 29    9    2011     1.12430188805      26.7394329607
 30    9    2011     1.21494186111      27.5480513871
 1     10   2011     1.28574480303      27.4323251992
 2     10   2011     1.27384258434      26.9928586632
 3     10   2011     1.24607074074      27.2623981386
 4     10   2011     1.25095370226      27.0287484303
 5     10   2011     1.26468703151      26.9496444538
 6     10   2011     1.2704855483       26.9496444538
 7     10   2011     1.19602038525      26.5695059001
 8     10   2011     1.11545152031      25.8436536714
 9     10   2011     1.09439374879      25.5521408692
 10    10   2011     1.08706930652      25.4305551276
 11    10   2011     1.08340708539      25.2437818497
 12    10   2011     1.08401745558      25.1727347597
 13    10   2011     1.08371227048      25.2826013938
 14    10   2011     1.06112857349      25.3455915973
 15    10   2011     1.04281746782      25.354380928
 16    10   2011     1.03183080442      25.4063844681
 17    10   2011     1.02053895593      25.1522263214
 18    10   2011     1.0107730329       24.953733936
 19    10   2011     1.01290932857      25.322153382
 20    10   2011     1.03396710008      25.6041444093
 21    10   2011     1.04861598462      25.7879879102
 22    10   2011     1.05716116726      25.8158207908
 23    10   2011     1.04586931877      25.6239204034
 24    10   2011     1.02450636216      25.590227969
 25    10   2011     1.00711081177      25.6151310727
 26    10   2011     0.988494521007     25.8282723427
 27    10   2011     0.957670826465     25.9322794229
 28    10   2011     0.925931576639     25.8414563388
 29    10   2011     0.900296028703     25.3492538184
 30    10   2011     0.87008270435      25.2218085229
 31    10   2011     0.843226416036     25.1624805406
 1     11   2011     0.828272346407     24.9464094937
 2     11   2011     0.82644123584      24.7669606581
 3     11   2011     0.831019012257     24.7112948969
 4     11   2011     0.852687153965     24.7259437814
 5     11   2011     0.85299233906      24.7823419869
 6     11   2011     0.856349375099     24.7882015407
 7     11   2011     0.845057526603     24.685659349
